FTITLE,FDESC,TYPE
女医生,该剧展现了当代社会医生与患者、医生与医生之间充满矛盾的关系，讲述了成为医生的两个男女，看尽人生百态后成长，开启人生的爱情故事，并在实现梦想的过程中，始终坚持医德的本心。,情感
春桃的战争,"春桃是一个美丽而善良的女子,在上世纪30年代那个战火纷飞的年代,她的命运跌宕起伏，经历了一段催人泪下的传奇故事。 　　春桃的未婚夫大龙在西口外遭遇土匪——而生死不明，婆婆四姑气血攻心而亡。临终交待要把大龙找回来。春桃决意与小叔子二虎一起过河找回大龙，正当他们要动身的时候，春桃的继父——票号吕掌柜的独子秃驴企图强暴春桃，春桃失手将其杀死！吕掌柜丧子，誓要将春桃沉河。 　　二虎从黄河浪中将春桃救起，叔嫂二人开始亡命天涯。 　　大龙被抚远城酒馆老板娘九里香救起，九里香对大龙一见钟情。春桃千辛万苦找到了大龙，竟发现他有了别的女人！ 　　吕掌柜得知春桃没有死，便派人过河追杀。春桃与二虎一路西奔，在一个小客栈遇上了好心的老人苏尕三，在老人的热心撮合下，春桃和二虎的心走到了一起。就在他们即将成亲的时候，吕家人追来劫走春桃，二虎也负了重伤。半道上土匪刘一刀又从吕家人手中劫走了春桃，并把她卖给了妓院，老鸨又将春桃转卖给了当地的大恶霸军阀陶正远。春桃被陶正远强占，在陶家过着生不如死、暗无天日的生活。 　　春桃怀孕了，陶正远大喜过望，娶春桃为姨太太，春桃过上了穿金戴银的日子。但春桃却更加恐惧，因为她知道，怀的孩子不是陶正远的，而是二虎的！ 　　儿子过满月这天，春桃忽然看到了身着军装的二虎。更让春桃惊奇不已的是，二虎的身份竟然是陶正远的副官林子鸣！已加入共产党的二虎是前来卧底的，两个有情人相隔咫尺，却不能相认。 　　九里香深爱着大龙，但这种爱却没有结果。九里香的丈夫魏和尚在走西口的路上成了瘫子，被人送了回来，住进了酒馆，万般无奈的大龙给九里香当起了拉帮套。不久，九里香的傻儿子憨二落水而亡，给这个家雪上加霜。 　　陶正远无恶不作，反复无常，春桃倍受欺凌，在二虎和二太太青莲的帮助下，几次逃走都未成功，却被陶正远变本加厉地蹂躏。二虎眼看着心上人受难，心如刀绞，却又不能暴露自己的身份。 　　磨盘山的土匪闯入陶家杀死了陶老太太，陶正远得知土匪的目标竟然是春桃！陶正远大为震怒，春桃被关入地牢危在旦夕，而她的儿子却被陶正远抱走。 　　二虎决意要救春桃出牢笼，他做了周密的计划，在农历十月初一放河灯这天夜里，春桃在二虎的帮助下终于逃出了陶家，但大龙却因被九里香灌醉而没能接应，春桃被土匪劫上了磨盘山。 　　土匪头子苏占山被二当家刘一刀杀死。刘一刀占山为王，他一直垂涎春桃。幸亏苏占山的女人兰姨一直保护她，正值苏占山的养子花望春（大虎）回来奔丧，花望春决意带春桃下山，俩人在兰姨的帮助下从后山逃走，不料春桃失足掉下山崖。 　　花望春下了山，因没能救出春桃而痛悔万分，二虎以为春桃已死，亦如万箭穿心。大龙更是与九里香大闹一场，并打了九里香。 　　春桃并没有死，一枝树杈救了她的命。绝望的春桃终于明白，眼泪救不了自己，要想活下去必须以恶治恶。 　　大龙因为耽误了救春桃，心中愧疚万分，只身闯进土匪窝子落草为寇，要救春桃。春桃为了不让大龙干傻事，自己抢先入了伙，并在一次比武中当上了三当家的，成了远近闻名的土匪一朵梅！ 　　春桃带领几个土匪，趁“同盟军成立”之际潜入陶正远家，欲抢回自己的儿子，但分别已久的儿子竟然对母亲毫不亲近，心碎的春桃在儿子的哭叫声中匆匆离开了陶家。 　　九里香因自己的私心错过了救春桃的机会，心中懊悔不已。魏和尚却整天躺在炕上瞎闹腾，并纵火烧了酒馆。九里香要将魏和尚赶出家门，被大龙拦住。 　　春桃带生病的兰姨下山看病，竟然碰见陶家大小姐思嫣亲热地搀着二虎的胳膊，春桃以为二虎已经移情别恋，彻底绝望了。 　　大龙以诚心待魏和尚，令魏和尚感动万分。为了不连累大龙和九里香，他趁两人不在时，用枕头吊死了自己。 　　二虎在陶正远家做卧底，危机四伏，陶正远一次次试探，二虎都化险为夷。但陶思嫣一心纠缠二虎，陶正远便要给二虎和女儿定亲，这让二虎十分为难，最重要的情报还没有拿到，为了完成任务，二虎只好委曲求全，与陶思嫣成亲。 　　婚礼上，一朵梅前来贺喜，一枪差点没要了陶正远的命，被二虎的飞镖挡住了枪子。春桃对二虎有了深深的误会和怨恨。 　　二虎和陶思嫣入了洞房却没有做夫妻。陶思嫣是个有进步思想的女子，她知道二虎的身份，也知道二虎深爱着春桃。但她没有告发二虎，而是离开了这个家，在二虎的帮助下，投身延安根据地。 　　二虎再次得到陶正远的信任，装扮成花望春上磨盘山摸情况，其实二虎实际上是来动员部分土匪哗变投诚的，他与二当家的刘胜暗中接了头，商议好了哗变一事，刘胜将二虎送到了春桃的木屋前，说：春桃一直在等你，今晚上就是你俩成亲的日子！ 　　二虎进了木屋，却被春桃用枪顶在了脑袋上！ 　　春桃手中的枪却在颤抖。她流着眼泪诉说着自己的期待与绝望，二虎说：春桃，你要觉得我是负心人，就一枪崩了我，你要放我走，那我还等你！ 　　刘一刀发现二虎有诈，要逮二虎。二虎要带春桃下山，春桃却朝天开了枪，让二虎在乱中从后",情感
兵团岁月,小提琴天才乔海洋以满腔热忱投身兵团建设。初恋爱人叶晓帆误中别人圈套而被迫离开海洋。痛苦如雪上加霜，海洋意外受伤双手致残永远不能拉琴，艺术生命被迫中断……师傅老车和善良女孩樱桃以温暖的感情抚慰困境中的海洋。能干真诚的同学郑红梅始终在乔海洋身后执著扶持。老车为给战士洗澡拉冰不慎遇难，樱桃为了救孩子遭遇车祸。痛失亲友的海洋深受震撼，发誓要以自己的行动来回报这片黑土地。海洋毅然放弃上大学的机会，留在北大荒。机缘巧合，他进入经营惨淡的县文工团，面对全团老少的生计困难，海洋费尽心血力挽狂澜。海洋和郑红梅凭着自己的才干和热情，经历种种磨难，终于把文工团领出困境步入正轨。海洋以深切感情写出大型歌剧《北大荒之歌》，终于实现了艺术理想。海洋和红梅的感情也在岁月的风雨中越走越近 ……,
谷穗黄了,韩元泰是韩家的一家之主，他虽没文化却腹有筹谋、精于算计，但同时他又乐善好施、开朗大度、是非分明。他的大儿子孝顺听话，但却一直没有子嗣，这一直是他的一块心病。二儿子留洋归来，一心想与心上人杨云云搞实业救国，但是随着日伪统治时期的到来，他很快在与日本商人不平等的竞争中败下阵来，十几年的积蓄一时间化为乌有。大女儿是那个时代少有的叛逆女子，她敢作敢为，性烈如火，抛弃门第观念，与打头范天宝私奔，盼望着能过上普通庄稼人的生活。然而在那个动荡的年代，这些简单的理想也破灭了。韩家小女儿原本是个恬静胆小的女孩，在马啸这位老师的引导下，她加入了抗日救亡运动。当亲眼目睹了马啸被捕直至绞死的惨象后，她的性格发生巨大的改变。她义无反顾地参加了抗联，成了一名英勇的抗联女战士。,"军旅,情感"
凌云壮志包青天,凌云壮志包青天是部历史侦探悬疑恐怖剧。导演为金石，晓天。由王学兵，范冰冰等人主演。本片生动、悬疑，恐怖、有趣，为不可多得的好片。剧中有王学兵饰演的包拯与各大反派的斗智斗勇，有扑朔迷离的悬疑剧情，还有他于女主角傲雪的爱情。,"悬疑,情感,古装"
雪中红,30年代的上海，大富豪井家育有二子二女，父亲迎娶二姨太宝珠后，宝珠与恋人沈斌合谋使井家败落。井家二姐妹同时爱上了医师高尚谦，妹妹莉梅摔伤了脚致跛残，姐姐莉雪促成了妹妹的婚事，远走他乡。5年后，莉雪回来，却卷入“杀害沈斌”的凶案旋涡，被当做凶手关押入狱。莉雪做舞女养大的两个弟弟，大弟志豪做了律师，小弟志忠做了拳师，他们想尽办法营救姐姐而不成，莉雪不得不面对法律的审判。法庭上，志豪为姐姐辩护，井父、井母和志忠都承认“杀人凶手”是自己，这使得宝珠良心发现，承认自己是杀人凶手，并道出真相。经历这一切，高尚谦了解了莉雪的良苦用心，坦承自己爱的是莉雪，莉梅为姐姐所感动，把与尚谦同往美国的船票给了莉雪……,情感
风吹云动星不动,《风吹云动星不动》是一部凄美爱情故事题材电视剧。该剧讲述了清朝末年的南溪古镇，肖钮两家因争夺开元丝谱而引发的一系列故事。,情感
护花奇缘,江湖儿女的恩怨情仇，叫人断肠、另人捧腹。引人入胜的故事中亦为人间真、善、美做着感动的诠释。这天江南某县城内的云来客栈，先后出现了四位绝色佳人，各具美态，令阅人无数的客栈老板福伯，亦不禁赞叹天公造化的神奇。 　 　 四位绝色佳人，令平凡的云来客栈显得不平凡了，但又有谁知道，在客栈门外卖拉面的卖面人，竟是“京城第一剑”的卓逸飞。他当年为与铁大将军的义子铁中岳比武遭暗算，惨败在铁中岳的“风雷剑”下，他被逼从此退出江湖，不再用剑。,"情感,古装"
女法医,北川省检察院董处长家中突发坠楼命案，引起社会极大震动。是蓄意谋杀、还是畏罪自杀？背后隐藏着怎样的真相？法检科主任韩嵋经过缜密勘察，凭借蛛丝马迹推翻刑警队魏铭的错误判断。与此同时，国防部和总装备部的“W合金”，我国军事上唯一的冷能源绝密技术突然外泄，发明者张伟生死未卜。而年轻漂亮的《新生》杂志负责人何敏也死在了武警支队门口，死者不但全身赤裸，而且生殖器官已被掏空。内脏从下身拖了出来，此手段极其残忍的命案令社会震惊。市局严令限期破案，案件之间究竟有怎样的联系？韩嵋经过对死亡现场的缜密勘察和尸体的解剖，做出了大胆详细的推论，震惊四座。至此，真相渐渐浮出水面，可此时省检察院负责案件调查的梁伟遭杀手暗算中枪住院，女儿葛兰也被绑架，案件开始变的错综复杂扑朔迷离…… 　　我国第一部描写女法医的电视剧。该剧运用法医学知识为侦破案件提供有力、有效的证据为主线，与刑侦破案相结合，将知识性、惊险性、刺激性、趣味性、可视性融为一体，展示了一个鲜为人知的女法医的职业生涯和情感世界。　　,"犯罪,悬疑,情感"
新京华烟云,剧中以居住北京的三家人为主轴发展：代表殷实中坚份子的姚思远一家、代表清流的曾文璞一家、代表腐败的牛思道一家。于此大时代动荡之际，三家人见证了中国人从封建到民主的过程，个人或被时代洪流吞没、或与时代俱进成就个人修为，当时移境迁，蓦然回首，方觉悟近四十年一场京华梦，不过浮云苍狗、过眼烟云，真正留驻心中的还是亘古不变的人间之爱。,情感
爱的代价,故事围绕男女爱情和商场竞争两个主题，讲述了从一起意外死亡事件引出的一家制药厂的黑幕交易。 　　日本人山岛，利用制药厂通过毒品渠道进行秘密交易。刑警队长赵简，步步为营与邪恶势力做殊死搏斗，几乎付出了生命的代价。山岛慧子在亲情与公理、正义与邪恶之间徘徊，而且还深陷情网，不能自拔……,"犯罪,悬疑,情感"
闯关东前传,刀锋划破长天，飘扬忠心义胆，战马驰骋天边，留下英雄一片。 　　《闯关东前传》将小人物的命运融入大时代背景，描写普通人在历史变迁下的陷落、抗争与希望。与《闯关东》中的三兄弟和《闯关东中篇》的三姐妹不同，《闯关东前传》中的主角是三兄妹，而且这三兄妹的身份随着所遭所遇不断变化，时而同仇敌忾，时而兄弟阋墙，时而携手并肩，时而剑拔弩张，但是在大义面前，在亲情面前，管家兄妹三人轰轰烈烈、几死几生地开创了闯关东的大业。《闯关东前传》的历史背景从1904年日俄战争往前推了40年，历史更开阔，场面更宏大，表现了更多原生态的东西，比《闯关东》还“闯关东”。与前两部相比，这戏最大的特色就是“情感更浓烈，传奇性更强，除了爱情、友情，还有欲望和背叛。”,"历史,情感"
我是特种兵,上世纪九十年代末，戏剧学院大一学生庄焱，为了追随青梅竹马从新兵连桀骜不驯不守规矩的典范，到为了兄弟情谊报名参加狼牙集训，再到残酷疲惫的层层“除锈”选拔训练，并最终和老炮、强子、耿继辉、史大凡、邓振华等人一起，成为了每年从几十万陆军中挑出的六名新锐，组成狼牙特种大队孤狼特别突击队，庄焱从一个穿着军装的艺术青年，而逐渐触摸到军人的灵魂，并逐渐爱上了中国陆军。 　　他和孤狼特别突击队的队员们一起，同生共死，在各种实战演习中屡建奇功。在一次赴边境配合武警侦察剿灭贩毒武装的战斗中，一举清除了盘踞在祖国西南边境的毒瘤……,"军旅,情感"
谁知女人心,故事发生在20世纪初，自幼青梅竹马的刘琦真和赵安华有缘无分，几番挣扎无法在一起。为了帮助琦真还债，安华入赘百年油坊，娶了薛家的女儿秀妍为妻。而全然不知真相的琦真悲愤交加，自暴自弃嫁给了贫困潦倒的破落户富振嘉。谁知命运多舛，几年周折之后，被丈夫抛弃的琦真带着儿子喜儿，最终嫁给了安华。当然这并非是最终的结局，一入侯门深似海，规矩多多的商人家庭同样机关重重。嫉妒心起的秀妍、反复无常的振嘉、面临诸多凶险的油坊，都让安华和琦真提着十二万分的小心应付。  　　乱世之秋，一个女人为了心中最质朴的心想咬紧牙关，奋力前行……,"情感,古装"
雪豹,电视剧《雪豹》由“一二八事变”淞沪会战起始，以日本战败投降作结，从时间上贯穿了整个抗日战争时期。与以往同类题材的电视作品相比，《雪豹》不仅仅强调众志成城的抗战精神，更对周卫国及“雪豹突击队”成员们的个人能力与才智进行了着力描绘。“雪豹突击队”的每位成员身上都有自己的“传奇”…… 　　,"军旅,历史,情感"
大珍珠,中国南方某省的白镇，白氏家族从前时代即宛若一个小皇朝似地盘踞在这儿，家族兴旺，财势庞大。白家主人白常天垂垂老矣，来自镇内外的豺狼虎豹对白氏的家产觊觎已久，然而白氏家族内部的妻妾与儿子也迫不及待地展开鲸吞蚕食。就在白氏家族面临着内忧外患的时候，白常天最宠爱的女儿白珍珠留学返乡。她的到来，让常天看到了一丝希望，也让家族成员们嫉恨排挤。白珍珠不愧为女中强人，迅速斡洲于家族内外。白常天有意将家族掌门人传给珍珠，岂料到外敌环伺。 　　白珍珠因一场意外与白家死对头夏家公子沐霖一见钟情，岂知夏沐霖已是妹妹永芳的未婚夫，两人相见恨晚。而此时白家上下阴谋逼得白珍珠无法立足于白家，最后，白珍珠下嫁佃户刘玉峰。可她万万没想到，这场婚姻正是悲剧的开始…… 　　日渐病弱的白常天最终死于亲生儿子白永源之手，早存野心的刘玉峰并未得逞。二房严氏之子白永源抢得白家掌门大权。而白氏家族面对来自夏家的严峻挑战，白家正濒临败亡的命运。而此时，凶手相助的竟是夏家之子夏沐霖！历经磨难的大珍珠力挽狂澜，为了拯救濒临倒亡的家族产业，开始了大珍珠重振白家的艰辛历程……,"情感,古装"
派克式左轮,《派克式左轮》是一部讲述当代中国留学生在海外求学经历的20集电视连续剧。该剧取材于1992年11月发生在美国某大学的一起震惊世界的“卢刚事件”，该事件的主人公、李政道奖学金获得者卢刚在大学校园制造了一起跨国校园枪杀大案。,
青春无极限,林康辉原是个小老板，蔡铭振是来自台湾的富家子弟，他俩虽然经历不同，都几乎在一夜之间成了穷光蛋。在遭受苦难后，两人皆不气馁，一心寻找创业机会，而且都看好在闽南乡村搞有机种植，因此阴差阳错碰到一块，艰辛地进行一场“ 绿 色革命”。女主角程雨欣和林康辉是一对欢喜冤家，在磕磕碰碰中互为吸引，最后成了 恋人。这是一部有关青春、创业、爱情的故事，是属于年轻一代的“中国梦”，本剧通过年轻人之间别具一格的创业和爱情故事，着力倡导绿色有机生活的同时，让人对生活充满自信，对真爱和真情更加珍惜。,情感
西部之恋,职业女性舒丽华因戳穿香港商人银丰利用自己在上海的人脉关系干不法勾当，愤然离开银丰集团。就在她苦闷、彷徨时巧遇了旅美归国发展事业的同学韩光，当韩光了解舒丽华在西北工作38年的经历后，决定聘请她在创新集团任西部开发项目的经理，他们一拍即合。       舒丽华在西部寻找开发项目时，因机缘偶遇，与刚刚从大企业退休下来的总裁季向前形成合作，开始了在贺兰山东麓腾格里沙漠边缘种植酿酒葡萄，建立葡萄酒酿造厂。在两个人为开发西部拼搏的艰难过程中，不仅要面对恶劣的自然环境，还要面对家人的百般阻挠，使两个人的事业和感情经历了重重波折和考验。他们矛盾着、痛苦着、却顽强的坚持着……,
生死兄弟,《生死兄弟》故事发生在八十年代末期的北京，主人公关昊的女友岳琳琳因为他只是一个小职员而移情别恋，关昊和陈竞一一道下海创业，讲述了在创业过程中的勾心斗角和尔虞我诈。 　　关昊的女友岳琳琳因为他只是一个一文不名的小职员而移情别恋，关昊大受刺激和儿时的挚友陈竞一怒气冲冲地来找岳琳琳理论，和她新男友美籍华人杰瑞发生了冲突。陈竞一因为和关昊痛打了杰瑞，被单位取消了出国进修的机会，准备辞职，这让关昊十分歉疚，率先辞去公职，和陈竞一一道下海创业。陈竞一回到自己家里，妹妹陈郁对两兄弟流露出无限的同情。 　　中关村电子一条街正处于起步阶段，关昊和陈竞一下海之初便投身其间，开始了在生意场上的艰难打拼。一个偶然的机会，他们认识了王建国和他的出纳丁淑慧，王建国骗了关昊他们一笔资金后逃跑了，关昊和陈竞一收留了无依无靠的丁淑慧。关昊在儿时的伙伴强子的资助下，事业度过难关，逐渐有了起色，他们又想方设法把另外一个兄弟向卫东拉下了海。兄弟三人来到儿时“结拜”的山顶，畅想未来时，结识了归国华人袁老。陈竞一发现了当初骗了他们计算机配件的王建国竟然是丁淑慧的同父异母哥哥，出于对丁淑慧的爱慕，他没有拆穿这件事。 　　商业敏感，让关昊率先意识到刚刚发售、而尚未上市的股票中潜在的巨大利润，他集中了公司的资金，买进了许多原始股，却遭到了向卫东的反对。在外企工作的陈郁软磨硬泡，终于加入了兄弟三人的公司。,
租个女友回家过年,本剧以龙门古镇为背景，讲诉了薛佳凝扮演的楚笑笑是北京长大的80后女子，人气小生杜淳饰演的男一号则是龙门古镇的孙氏后代孙翌伟，清华毕业(学汽车制造)，又出国留学，后回到北京工作(IT行业)，由于被初恋女友佟洁抛弃，过失致使哥哥死亡，心里承受着巨大的压力。30多岁还未成家，家人最盼望的就是他能带个媳妇回家过年，于是他就开始网上租女友，于是楚笑笑和孙伟伟就成了一对“合约情人”。而这对“合约情人”回到龙门古镇一方面要讨得家人开心，又暗中斗法，幸得孙翌伟的外甥钟磊(冷中易饰演)的暗中帮助，最终获得真爱谱写浪漫的故事。,情感
杨光的夏天,杨光结婚后就被保安队辞退了，因为小薇的出现让他和边萍产生误会，边萍的前男友陈风 一直追求边萍，边萍夫妻二人误会越来越深。就在此时，夏丽带着儿子小雨从美国回到天津并开了家花店。小薇这次来天津是为了开自己的个人演唱会，她的经济人王斌一直暗恋着小薇，可小薇并不接受王斌的感情。杨光找了几份工作都不顺利，后来在夏丽的花店工作。夏丽带着小雨打算离去，在去 机场的路上，小雨被车撞成重伤住院。此时，杨光在医院做护工，他护理的病人竟然是小薇的弟弟小 勇。杨光为小雨输血，才发现自己原来是小雨的亲生父亲，所有的爱恨缠绵使边萍最终离开了杨光， 和陈风重新走到一起，经过了爱情打击后的杨光开始了新的生活。,"喜剧,情感"
蝶舞天涯,时值乱世，一个被遗弃的野孩子在森林里由豹子抚养，后经猎户收养。孩子虽渐渐懂得一些人性，但身上挥不去那份兽类的野性，以至于后来不得不在军队中角斗场靠格斗为生，而残酷的逆境恰好造就了日后无人匹敌的勇猛战将，名叫“天涯”。与之相对，大将之女“蝶舞”自小与“天涯”有着不解之缘，这位日后的大美女为了让天涯放弃斩不断的所谓恩义远离尘世，甘愿做他人使用美人计的一颗棋子……,"情感,古装"
绝色双娇,张贵妃（傅艺伟饰）产下了一个女婴，为了保住自己在宫中的地位，张贵妃将自己产下的女婴与大学士林进贵夫人同时产下的男婴进行了对调。随后，这名男婴成为了当今太子，而张贵妃亦成了皇太后。林进贵夫人对此十分愤恨，却又无可奈何，气愤不已的她将张贵妃的亲生骨肉抛弃在扬州城的青[1]楼百花楼门口。 　　一晃眼十八年过去了，当年的女婴被百花楼的妓女金花（宋丹丹饰）收养，取名芊芊（张庭饰），长大成人了，而太子正康也亦长大成人。芊芊因为自小在鱼龙混杂的环境中长大，因此身上市井习气不少，但为人善良，热衷于打抱不平。这日，芊芊因为在赌场出千，事败后被人追杀。为难之际，她遇到了南七省水陆瓢把子“龙天啸（刘长纯饰）”龙大侠，并得到了他的相救。这个龙大侠，其实是闲来无事的太子正康（焦恩俊饰）微服私访时偷了龙天啸的黑龙旗假冒的。芊芊的传奇武林经历由此拉开序幕！,"喜剧,情感,古装"
东西奇遇结良缘,本片演绎了一个才子和两个佳人的浪漫爱情故事。 　　元朝，繁华的都市扬州，才气过人又淳朴善良的书生张天生怀抱年轻人的凌云壮志来到扬州，遇到了西厢剧社的当家花旦曹燕燕并一见倾心。张天生此番投奔的东湖剧社资金雄厚，又有一个神秘的编剧不倒翁王钟支持，称霸扬州，是西厢剧社的死对头。王钟赏识张天生的才干，二人意气相投，却不料王钟是个男扮女妆的美娇娘，更不料张生对她也心生情愫。她二人谁是真命情人？张天生该为谁舍命，为谁偷生？一场传奇浪漫的情仇故事由此展开……,"情感,古装"
红粉,电视剧《红粉》是中外电视剧史上首部妓女改造题材与特务题材的荧屏巨作，根据苏童名著《红粉》改编。该剧题材特殊，全景式展现新社会破旧立新、涤荡尘埃和人民群众焕然一新的精神面貌，弘扬了共产党人的浩然正气。解放初，警卫团团长韩大鹏带领解放军查封苏城妓院。喜红楼的头牌妓女秋仪与世家公子老浦外出看电影，本可逃过一劫，而对老浦的求婚，秋仪决定回红楼拿回攒了十年的血汗钱作为嫁妆。当秋仪换衣服的时候参谋长任来喜（实为特务）闯进房间想调戏秋仪未遂，而面对老韩的时候，却说成是秋仪色引自己，使原本痛恨妓女的老韩更加痛恨秋仪，秋仪也因此误会了解放军。老韩在妓女改造过程中，从相互的敌视到真正了解妓女凄惨经历后的同情，甚至愿意牺牲自己的生命去帮助她们，写就了一部新的英雄篇章。,"军旅,情感"
女囚,这是九个女人悲惨命运的故事。九个故事向世人警示着一个发人深省的主题。千百年来东方女性，特别是那些受到伤害的女性，她们走的是毁灭自我达到复仇或解脱的老路，这条路甚至延续到现在。 　　本剧旨在呼唤女性要强化自尊、自爱、自强、自立的生存意志；呼唤女性在坎坷人生旅途上，要善于化解恩怨，要敢于用法律的武器惩治邪恶、保护自己；呼唤全社会要对女性更多一些尊重、关怀和理解，给女性更多一些温情和她们最需要的……,情感
红颜的岁月,七十年代中期，越来越多的知青返回城市。李红梅家境贫寒没有回城的门路，为了回城她争当大队广播员，被革委会主任看中想占有她。她内外交困走投无路，当地农村青年何志诚十分同情，一次次冒险把她救出，患难中他们相爱了。何志诚是退伍军人又是团支书，过硬的政治资本使他成为时代宠儿被保送到省城上工农兵大学，可他为了让红梅回城把这个机会悄悄让给了她并斩断情丝，红梅毫不知情误以为他另有所爱，两人痛苦的分手，何志诚追着她远去的身影跑过一个又一个山头。  　　红梅就读省医学院成为最后一届工农兵大学生，不久全国恢复高考，工农兵学员不再受重视。时代变了，知识.……,情感
新西厢记,书生张珙在普救寺里偶遇已故崔相国之女莺莺，对她一见倾心，苦于无法接近。此时恰有孙飞虎听说莺莺美貌，率兵围住普救寺，要强娶莺莺为妻。崔夫人情急之下听从莺莺主意，允诺如有人能够退兵，便将莺莺嫁他。张珙喜出望外，修书请得故人白马将军杜确率兵前来解围，但事后崔夫人绝口不提婚事，只让二人以兄妹相称。张珙失望之极，幸有莺莺的丫环红娘从中帮忙，扶莺莺月夜烧香，听见张珙弹琴诉说衷肠。 　 　 后来，莺莺听说张珙病倒，让红娘去书房探望。张珙相思难解，求红娘替他从中传递消息。莺莺怜惜张珙，终于鼓起勇气，也写诗回赠，后在红娘帮助下，二人瞒过崔夫人，私下幽会并订了终身。 　 　 老夫人知情后怒责红娘，但已无可挽回，便催张珙进京应考。张珙与莺莺依依而别，半年后得中状元，最后有情人终成眷属。,"情感,古装"
薛丁山,"该剧讲述的是大唐贞观年间，苏凤父子反唐，薛仁贵元帅奉命征剿却惨遭奸人所害，其子薛丁山请缨，以无敌之势夺得帅印，与母亲及妹妹出发西征的故事。 　　在《薛丁山》中，“百万大军会战锁阳城”、“罗通盘肠大战”、“智取怪兽七杀阵”、“巧破金光八卦阵""、“三休三请樊梨花”等等脍炙人口的经典名段都将以全新的视听体验形式摆在观众面前。该剧一方面讲述了薛丁山如何将朝廷一帮世子“官二代”从无所事事、武功平平的纨绔子弟磨炼成武功高强、冲锋陷阵的优秀主将的过程，另一方面该剧又巧妙地融入了薛丁山以国家大义为重，胸怀坦荡地赢得了三位才貌出众的奇女子的爱慕，甘愿由敌人变为结发之妻的传奇爱情故事。","情感,古装"
人是铁饭是钢,"本剧讲述在1963年，人们刚刚经历了三年""自然灾害""，对于食物的渴望无以复加。在北方某城的钢厂，新厂长刘峰因为领导有方超额完成任务，获得了总公司的奖励——一头猪。这令全场职工都很振奋。炊事班长崔大可（李梦男 饰）拉回了这头猪，大家都期待着吃猪肉解馋。但是厂长刘峰却三顾茅庐把已开除的员工南易（冯远征 饰）请回来做杀猪人，这令崔大可极为不满。结果，南易一餐成名，重回炊事班，当了主厨。而且，他还与老班的外甥女丁秋楠（李芯逸 饰）谈起了恋爱，令崔大可更加嫉妒。在南易改造后厨时，崔大可唱起了对台戏。他利用南易屡屡帮寡妇梁拉娣（苗圃 饰）解围之事，在丁秋楠面前挑拨离间，搬弄是非，致使二人误会重重。崔大可则趁虚而入，占有了丁秋楠……此后，四个人的爱情与命运都发生了巨大的改变。",情感
传奇·幻想殷商,大型奇幻神话剧《传奇·幻想殷商》由2个单元故事构成。第一单元《兽人的反击》，讲述远古时代，西方赫斯高原来的半兽人部落，与东方华夏人类的战争。传说中的门神哼哈二将是故事的主角。第二单元《仙术与魔法的终极PK》，哪吒成为主角。他将与哈特魔法学校弟子展开激战。《传奇·幻想殷商》最大的特点是故事构思奇特，逾越时空，将东西方古老传说和民间文化组合在一起，演绎出一部生动紧凑，集东西方奇幻神话于一体的大戏。西方半兽人军团与华夏文明之争，西方暗黑魔法与东方飘逸仙术之斗的大线索，使其创造的神话题材得到成功升级。虽然是一部古装戏，但该剧在服饰方面却偏向于时尚元素。除了美丽动人的神话故事，还穿插了很多类似西方的魔法，并具有很强的搞笑色彩。海岩之子侣萧在片中出演了善良的大话王哼奇奇，该形象诙谐幽默，段子无数，受到年轻观众的追捧。,"奇幻,情感,古装"
下辈子还嫁给你,民初，元宵节。美丽聪慧的沈云娘邂逅男子傅文旭，两人相爱，云娘自小受到同父异母的哥哥沈万生的欺凌，虽天生命苦却性情贤良。傅母寡居多年，尤其珍爱自己的儿子，一心想为文旭寻一门好亲事，因此极力反对儿子与云娘的婚事。两人历经波折终于结婚，云娘尽力辅佐傅家茶叶生意，渐渐赢得了傅母的认可。可是在哥哥沈万生的设计谋害下，云娘历经坎坷，怀孕流产并遭遇父亲身亡，几近崩溃。伤心欲绝的云娘再度怀孕，在柴房中产下一子念文，几经波折，云娘和念文离开傅家，独自在后山生活。始终乐观坚强的云娘将念文抚养成人。长大成人的念文，知道了这一切，决定下山为母亲讨回公道，善良的云娘最终让念文明白：放下仇恨，好好地、积极地生活，才是自己该做的。,情感
回来吧大叔,一场意外中，百货科长金英洙坠楼死亡，与此同时，黑道大叔韩基倬亦命丧黄泉。两个身份和个性都截然不同，生前八竿子都打不到一起的男人，死后在阴间相遇了。 　　两人因为都有无论如何也割舍不下的牵挂，因此谈得格外投机，之后竟然自作主张，从开往天国的列车上纵身而下。就这样，金英洙和韩基倬回到了人间，以了却两人的心愿。只是，留给他们的时间，只有短短两个月。金英洙投胎成为了英俊多金的社长李海俊，而韩基倬更是夸张，竟然变身成为了身材火辣的性感美女洪兰。 　　等待着他们的，会是怎样妙趣横生的故事呢……,"奇幻,喜剧,情感"
